Subject,Accuracy,Word,RT
249833,1,living,1671
249833,1,living,683
249833,1,living,980.3
249833,1,nonliving,642.6
249833,1,living,593.8
249833,1,nonliving,771.6
249833,1,nonliving,666.9
249833,1,living,616.9
249833,1,nonliving,755.6
249833,1,nonliving,1540.9
249833,0,nonliving,1411.7
249833,0,nonliving,754
249833,1,nonliving,725.9
249833,1,nonliving,932.8
249833,1,nonliving,644.5
249833,1,living,627.8
249833,1,living,746.7
249833,1,living,549.8
249833,1,living,574.4
249833,1,living,523.6
249833,1,nonliving,1208.9
249833,1,nonliving,648
249833,1,living,834.6
249833,0,nonliving,1075.1
249833,1,living,531
249833,1,living,557.3
249833,0,nonliving,556.6
249833,1,nonliving,733.1
249833,1,living,610.5
249833,1,nonliving,698.1
249833,1,nonliving,716.7
249833,1,living,1995.7
249833,1,living,912.9
249833,1,living,571
249833,1,living,791.1
249833,1,living,710.9
249833,0,nonliving,806.4
249833,1,nonliving,1717.8
249833,1,living,839.1
249833,1,living,598.7
249833,1,nonliving,683.9
249833,1,nonliving,939.9
249833,1,nonliving,684.3
249833,1,living,526.5
249833,1,nonliving,610.6
249833,1,nonliving,713.6
249833,1,living,796
249833,1,living,933.3
249833,1,nonliving,709.3
249833,1,living,605.1
249833,1,nonliving,882.7
249833,1,living,578
249833,1,living,639
249833,1,living,601.3
249833,1,living,633
249833,1,nonliving,751.3
249833,1,nonliving,938.7
249833,1,living,606.9
249833,1,living,493.8
249833,1,nonliving,642.5
249833,1,living,622.8
249833,1,living,504.2
249833,1,nonliving,635.5
249833,1,nonliving,743.1
249833,1,living,1153.5
249833,0,nonliving,424.6
249833,1,living,483.6
249833,1,living,607.1
249833,1,nonliving,696.8
249833,1,living,600.5
249833,1,nonliving,767.3
249833,1,nonliving,585.9
249833,1,nonliving,658.7
249833,1,living,571.7
249833,1,living,622.5
249833,1,living,668.7
249833,1,living,583
249833,1,living,581.1
249833,1,living,587.5
249833,1,nonliving,823.1
249833,0,nonliving,1216.9
249833,0,nonliving,727.6
249833,1,living,535.4
249833,1,nonliving,672.3
249833,1,nonliving,591.9
249833,0,nonliving,1325.3
249833,0,nonliving,1239.9
249833,1,nonliving,728.2
249833,1,living,827.2
249833,1,living,586.7
249833,1,living,1708.5
249833,1,nonliving,754.3
249833,1,living,676.7
249833,1,nonliving,700.9
249833,1,nonliving,667.3
249833,1,living,661.2
249833,1,living,548.1
249833,0,nonliving,541.2
249833,0,nonliving,468.5
249833,1,nonliving,809.3
249903,1,living,1232.2
249903,1,nonliving,655.2
249903,1,living,565.4
249903,1,nonliving,766.5
249903,1,living,855.7
249903,1,nonliving,776.3
249903,1,living,793.1
249903,0,living,695
249903,1,living,1002.6
249903,1,living,1474.4
249903,1,living,655.7
249903,1,nonliving,676.8
249903,1,living,713.7
249903,1,living,852.5
249903,1,nonliving,866.9
249903,1,living,616.5
249903,1,living,911.6
249903,0,nonliving,834.9
249903,1,nonliving,729.6
249903,1,living,1852.5
249903,1,nonliving,888.9
249903,1,living,2125.6
249903,1,nonliving,1833.3
249903,1,nonliving,695.3
249903,1,living,788.2
249903,1,living,1132.7
249903,1,nonliving,1062.9
249903,1,nonliving,717.2
249903,1,nonliving,700.5
249903,1,living,810.1
249903,1,nonliving,803.9
249903,1,living,515.2
249903,1,nonliving,611.4
249903,0,nonliving,1406.3
249903,1,nonliving,1621.9
249903,0,nonliving,940.8
249903,1,nonliving,1574.5
249903,1,nonliving,632.4
249903,0,living,631.3
249903,1,living,1294
249903,1,living,1505.9
249903,0,nonliving,1229.7
249903,1,living,1500.3
249903,1,living,776.3
249903,1,living,673.2
249903,1,nonliving,790.6
249903,1,nonliving,989
249903,1,nonliving,1191.3
249903,1,nonliving,1071.8
249903,0,living,588.3
249903,1,living,940.9
249903,1,living,566.3
249903,1,nonliving,1120.7
249903,1,living,915.6
249903,1,living,1911
249903,1,nonliving,762.4
249903,1,nonliving,724.6
249903,1,living,829.4
249903,1,nonliving,893.4
249903,1,nonliving,1433.4
249903,1,living,704.3
249903,1,nonliving,1436
249903,1,living,1466.5
249903,1,living,1271.8
249903,1,living,1060.3
249903,1,living,737.1
249903,1,living,652.5
249903,1,living,626
249903,1,living,641.3
249903,1,nonliving,991.7
249903,1,nonliving,663.4
249903,1,nonliving,909.1
249903,1,nonliving,640.6
249903,1,nonliving,750.8
249903,1,living,832
249903,1,nonliving,1918.6
249903,1,living,1042.5
249903,1,nonliving,864.9
249903,0,nonliving,646.4
249903,1,living,820.2
249903,1,living,667.8
249903,1,living,853.9
249903,1,living,814.6
249903,1,living,822.3
249903,1,nonliving,781.2
249903,0,nonliving,654
249903,1,nonliving,1091.7
249903,1,nonliving,1471.8
249903,1,living,1109
249903,1,living,1071.7
249903,1,nonliving,797.3
249903,1,nonliving,998.1
249903,1,nonliving,798.6
249903,1,living,1103.8
249903,1,living,794
249903,1,living,1026.5
249903,1,nonliving,1065.3
249903,1,nonliving,1030.8
249903,1,nonliving,675.1
249903,1,nonliving,1026.3
